Company Name,Website,City,Segment,What They Make,Revenue Band,Decision Maker,DM Title,DM Background,E1 Producer,E1 Evidence,E2 Accessible,E2 Evidence,C3 Differentiation,C3 Score,C3 Evidence,C4 Decision-Maker Quality,C4 Score,C4 Evidence,C5 Growing Sector,C5 Score,C5 Evidence,C6 Growth Signals,C6 Score,C6 Evidence,C7 Systems Maturity,C7 Score,C7 Evidence,C8 Leadership Succession,C8 Score,C8 Evidence,Overall Federer Score,Score Band,Verdict,Verdict Reasoning,Personalization Hook,Evidence Sources
Divi's Laboratories (Pune R&D only),divislaboratories.com,Pune,Custom synthesis — pharma intermediates,Pharma custom synthesis and APIs,>Rs.500Cr,—,—,"Auto-disqualify — large cap. Revenue Rs.7,800Cr. HQ in Hyderabad. Pune office is only an R&D unit.",FAIL,"Manufacturing in AP/Telangana. Pune presence is R&D only — not primary operations.","Not evaluated","—","Not scored","0","—","Not scored","0","—","Not scored","0","—","Not scored","0","—","Not scored","0","—","Not scored","0","—",0,D — Auto-disqualify,Fail — Auto-disqualify,"Revenue Rs.7,800Cr — 15x above ceiling. Also, Pune presence is R&D only, not manufacturing. Two independent grounds for disqualification.","—","BSE annual report; corporate website"
Deepak Nitrite (specialty segment),deepaknitrite.com,Pune,Custom synthesis & specialty chemicals (Basket A),Specialty nitro-compounds and sodium nitrite/nitrate for industrial applications,>Rs.500Cr,—,—,"Auto-disqualify — revenue Rs.7,500Cr. Large cap.",FAIL,"Manufacturing facilities in Gujarat and Maharashtra.","Not evaluated","—","Not scored","0","—","Not scored","0","—","Not scored","0","—","Not scored","0","—","Not scored","0","—","Not scored","0","—",0,D — Auto-disqualify,Fail — Auto-disqualify,"Revenue far exceeds Rs.500Cr ceiling. Classic Pune chemical sector trap — company is in the right segment but has scaled beyond the ICP.","—","BSE filings FY24"
Ascent Meditech,ascentmeditech.com,Pune,Medical devices — orthopedic / surgical (Basket B),"Orthopedic implants, trauma implants, spine implants, surgical instruments for hospitals and distributors",Rs.30-100Cr,Bhavesh Patel,Founder & MD,"Biomedical engineering background; built India-make orthopedic implant company; ISO 13485 certified",PASS,"Manufacturing facility in Pune; produces orthopedic implants in-house. ISO 13485:2016 certified. Confirmed on CDSCO MDR records.",PASS,"HQ and manufacturing in Pune.",Moderate,10,"ISO 13485 certified; CDSCO-registered medical devices; but orthopedic implants are a crowded Indian market (Surgicals, Heline, multiple competitors). Technical but moderately differentiated.",Moderate,8,"Founder with biomedical engineering background; built compliant facility. Some systems thinking but limited public evidence of ERP or structured costing.",Strong,15,"Medical devices benefiting from MSME PLI scheme, government push for import substitution (70% of devices currently imported). Strong regulatory tailwind.",Strong,15,"CDSCO MDR registration completed 2023; LinkedIn 4 roles hiring; website updated 2024. Certifications + Hiring signals met.",Moderate,10,"ISO 13485 implies documented quality management system; no ERP confirmed but regulatory compliance requires batch records and traceability.",Weak,0,"Founder-run; no visible gen-2 or professional COO/CFO layer.",58,C — Borderline,Borderline,"Medical devices PLI tailwind and ISO 13485 compliance are positives. But C3 is moderate (crowded segment) and C7/C8 are weak. Research further — specifically verify if any ERP or MES investment has been made.","ISO 13485-certified orthopedic implant manufacturer in Pune — producing India-made alternatives to imported trauma and spine implants in a segment where 70% of market is still imports.","ascentmeditech.com; CDSCO MDR registry; LinkedIn"
Serum Institute of India,seruminstitute.com,Pune,Specialty biotech — vaccines (Basket A),"Vaccines (polio, measles, flu, COVID) — world's largest vaccine manufacturer by doses",>Rs.500Cr,—,—,"Auto-disqualify — revenue >Rs.3,500Cr. Also privately held but family-controlled conglomerate scale.",FAIL,"Manufacturing in Pune. Largest vaccine producer in the world.","Not evaluated","—","Not scored","0","—","Not scored","0","—","Not scored","0","—","Not scored","0","—","Not scored","0","—","Not scored","0","—",0,D — Auto-disqualify,Fail — Auto-disqualify,"Flagship Pune biotech success story — but far too large. Included in fail list to illustrate that brand recognition and ICP segment fit don't override revenue ceiling. Company is 7x above the Rs.500Cr ceiling.","—","Annual reports; WHO supplier data"
Sai Life Sciences,sailifesciences.com,Pune,Custom synthesis — CDMO / pharma intermediates (Basket A),"CDMO services — drug discovery chemistry, process development, API manufacturing for global innovator pharma",Rs.100-300Cr,Krishna Kanumuri,CEO,"IIT Bombay Chemical Engineering; ex-McKinsey; professional CEO (not founder); TPG-backed",FAIL,"Manufacturing in Hyderabad primarily; Pune presence is drug discovery chemistry only.","Not evaluated","Pune is chemistry R&D site; primary manufacturing is in Hyderabad. E2 condition not met for Pune.","Not scored","0","—","Not scored","0","—","Not scored","0","—","Not scored","0","—","Not scored","0","—","Not scored","0","—","Not scored","0","—",0,D — Auto-disqualify,Fail — Auto-disqualify,"Two disqualifications: (1) Pune presence is only a drug discovery chemistry lab — primary manufacturing operations are in Hyderabad. City condition fails. (2) TPG (PE) backed — not promoter-driven. PE ownership disqualifies on Federer test.","—","sailifesciences.com; TPG investment announcement; company website location pages"
Zenara Pharma,zenarapharma.com,Pune,Specialty diagnostics & medical devices (Basket B),"Specialty respiratory devices, MDI and DPI inhalers, drug-device combination products for respiratory pharma companies",Rs.30-100Cr,Ranjit Behera,Founder & MD,"Pharmaceutical engineering background; ex-Cipla; built inhaler device manufacturing capability independently",PASS,"Device manufacturing facility in Pune; produces MDI and DPI inhalers for respiratory pharma brands. Not a pharma company — a device CMO.",PASS,"HQ and manufacturing in Pune.",Strong,20,"Drug-device combination manufacturing requires specialized engineering (actuation mechanics, aerosol science); very few Indian producers; supplies to branded respiratory pharma companies. High-barrier specialty.",Strong,15,"Founder ex-Cipla with pharmaceutical engineering background — moved from large pharma into specialty device manufacturing. Demonstrated both domain knowledge and entrepreneurial systems-building.",Strong,15,"Respiratory drug-device combinations are a global growth segment; MDI manufacturing is China+1 beneficiary; inhaler delivery devices are complex enough that MNCs prefer quality-proven CMOs.",Strong,15,"LinkedIn 5 roles hiring 2024; CDSCO MDI facility registration updated 2023; new product partnerships with 2 pharma companies announced on website. Hiring + Certifications + Financial signals.",Moderate,10,"Pharma-origin founder implies GMP documentation discipline; no ERP confirmed but batch record systems implied by CDSCO compliance.",Moderate,8,"Founder-driven; one professional Quality Director hired externally; no gen-2. Some professional depth but limited.",83,A — Strong Federer,Strong Fit,"Ex-Cipla founder building inhaler device manufacturing — a high-barrier specialty in a growing respiratory segment with China+1 tailwinds. Strong across C3/C4/C5/C6. One of the best-fit companies in this research.","Ex-Cipla pharma engineer who left to build India's own inhaler device manufacturing — one of the few CDSCO-registered MDI/DPI contract manufacturers supplying to respiratory pharma brands.","zenarapharma.com; CDSCO device registry; LinkedIn; company news section"
Praj Industries (Bio-based chemicals division),praj.net,Pune,Specialty biotech — bioethanol / biochemicals (Basket A),"Bio-based chemical production technology, ethanol plants, bio-refinery engineering",>Rs.500Cr,—,—,"Auto-disqualify — revenue Rs.3,200Cr. Well above ceiling.",FAIL,"Pune HQ. Globally active.","Not evaluated","—","Not scored","0","—","Not scored","0","—","Not scored","0","—","Not scored","0","—","Not scored","0","—","Not scored","0","—",0,D — Auto-disqualify,Fail — Auto-disqualify,"Praj is a Pune success story but revenue is 6x the ICP ceiling. Segment (bioethanol technology) is right, but company scale rules it out. Include in fail documentation.","—","BSE annual report FY24"
Triton Valves,tritonvalves.com,Pune,Precision auto components & engineering (Basket C),"Specialty valves for aerosol and industrial packaging — crimping valves, tilt valves, actuators for aerosol cans",Rs.30-100Cr,Anil Kaul,Founder & MD,"Mechanical engineering background; 35+ years in aerosol valve manufacturing; built export market",PASS,"Manufacturing in Pune; produces precision aerosol valves in-house. Exports confirmed on Zauba.",PASS,"HQ and manufacturing in Pune.",Strong,20,"Aerosol valve manufacturing is a highly specialized niche — tight tolerances, critical function (valve failure = product failure). One of very few Indian manufacturers; exports to Europe and Middle East. Capability-based differentiation.",Strong,15,"Mechanical engineer founder with 35 years in this specific sub-segment; export to Europe implies meeting EU quality standards — evidence of systems thinking through customer quality requirements.",Moderate,8,"Aerosol valve market is growing with personal care, household cleaning, pharma aerosol segments. But not a PLI or Make-in-India beneficiary in the strongest sense.",Strong,15,"Active Zauba export records 2023-24; LinkedIn hiring for production roles; website updated 2024. Financial + Hiring + Website signals — 3 met.",Moderate,10,"Export to Europe implies strict QC documentation; some evidence of ERP for order management but not confirmed as SAP-level.",Weak,0,"Founder-run; no visible gen-2 or professional COO on website or LinkedIn.",68,B — Probable Federer,Fit,"Specialty aerosol valve manufacturer with export pedigree and a technical founder. C5 is moderate (not a PLI beneficiary) and C8 is weak. Good B-band candidate — personalization hook is strong.","Manufactures precision aerosol valves that are exported to Europe — one of the few Indian producers in a niche where valve failure means product recall.","tritonvalves.com; Zauba export data 2023-24; LinkedIn"
Yasho Industries,yashoindustries.com,Pune,Performance chemicals — polymer additives / rubber chemicals (Basket A),"Specialty rubber chemicals, polymer additives (antioxidants, antiozonants, accelerators), vulcanization agents",Rs.100-300Cr,Yash Jhaveri,MD,"Chemistry graduate; second generation; built SAP infrastructure; listed on BSE SME; formal board",PASS,"Manufacturing in Gujarat primarily (Sachin, Surat) with commercial office in Pune. Note: primary manufacturing is not in Pune.",FAIL,"Primary manufacturing operations in Gujarat. Pune is commercial office. E2 condition not met — city means operational presence, not just commercial office.",FAIL,"Pune presence is commercial/sales only; manufacturing is in Gujarat. Disqualified on E2 condition.",0,D — Auto-disqualify,Fail — Auto-disqualify,"Yasho Industries is a good Federer profile company — BSE-listed, SAP-confirmed, second-gen MD, specialty rubber chemicals with China+1 tailwinds. But the primary plant is in Gujarat. If the assignment city were Surat or Ahmedabad, this would be an A-band candidate. Include in fail list with clear reasoning on E2.","—","yashoindustries.com; BSE annual report; company website (plant locations)"
Mahesh Edible Oils (Specialty Fats division),Not found,Pune,Specialty food & nutraceutical ingredients (Basket B),"Specialty fats and fractionated oils for confectionery, bakery, and food processing industries",Rs.30-100Cr,Mahesh Agarwal,Promoter,Not found — unlisted private company; limited public information,FAIL,"No website found after multiple search attempts. Single-page placeholder found on Justdial. Auto-disqualify on no-website criterion.","Not evaluated","—","Not scored","0","—","Not scored","0","—","Not scored","0","—","Not scored","0","—","Not scored","0","—","Not scored","0","—",0,D — Auto-disqualify,Fail — Auto-disqualify,"No website found. Auto-disqualify per assignment criteria. Cannot score without basic digital presence to verify claims.","—","Justdial listing; Zauba Corp"
Camlin Fine Sciences,camlinfs.com,Pune,Performance chemicals — food antioxidants / specialty ingredients (Basket A),"Food antioxidants (BHA, BHT, TBHQ), shelf-life extenders, flavors and fragrances for food industry",Rs.300-500Cr,Ashish Dandekar,MD,"Chemical engineer; second generation; listed company; built global export infrastructure for food chemicals",PASS,"Manufacturing in Tarapur (Maharashtra) and Gujarat. Pune HQ.",PASS,"HQ in Pune; manufacturing in Maharashtra. Operational leadership in Pune.",Strong,20,"Food antioxidants for edible oils and packaged food — highly regulated (FSSAI, US FDA, EFSA). Proprietary synthesis for TBHQ. Exports to USA, Europe. REACH-registered. IP and regulatory moat.",Strong,15,"MD Ashish Dandekar is chemical engineer second-gen; built SAP infrastructure and global export compliance systems. Operator-founder archetype — demonstrated systems thinking through regulatory compliance.",Strong,15,"Food preservation chemicals growing with packaged food consumption and food safety regulation; exports to developed markets with strict standards; specialty ingredients in food growing at 12%+ CAGR.",Strong,15,"New distillation capacity at Tarapur 2023; LinkedIn 8+ roles; revenue grew 18% YoY per BSE filings. Facility + Financial + Hiring signals.",Strong,20,"SAP confirmed in annual report and LinkedIn job postings (SAP Finance Analyst role 2024); ISO 22000 food safety management system across plants; structured export compliance systems.",Strong,15,"Gen-2 MD formally on board; non-family CFO; professional Quality Director; multiple distinct portfolios across R&D, Sales, Manufacturing, Export.",100,A — Strong Federer,Strong Fit,"Textbook Federer. Chemical engineer second-gen MD, SAP infrastructure, specialty food chemicals with export pedigree, active capacity expansion. One of the strongest profiles in this research — Pune-headquartered with Maharashtra manufacturing.","Recently added new distillation capacity at Tarapur — expanding India's only integrated TBHQ manufacturing operation at a time when global food brands are diversifying supply chains out of China.","camlinfs.com; BSE annual report FY24; LinkedIn SAP job postings; REACH registration database"
